is_active,model_name,repetition,iteration,function_name,feature,influence,min_influence,max_influence,mape
True,lasso,0,10,system,"('level',)",23.99606009942782,,,487.1112378378735
True,lasso,0,10,system,"('cores', 'ram')",-7.358752119078947,,,487.1112378378735
True,lasso,0,10,system,"('cores', 'level')",36.05727455306467,,,487.1112378378735
True,lasso,0,10,system,"('cores', 'wind_size_unl')",34.09784539166137,,,487.1112378378735
True,lasso,0,10,system,"('cores', 'threshold')",230.1800342280248,,,487.1112378378735
True,lasso,0,10,system,"('level', 'ram')",-7.147853438753369,,,487.1112378378735
True,lasso,0,10,system,"('ram', 'threshold')",400.4699699523627,,,487.1112378378735
True,lasso,0,10,system,"('level', 'wind_size_unl')",219.42431750339856,,,487.1112378378735
True,lasso,0,10,system,"('level', 'threshold')",-266.2747288164461,,,487.1112378378735
True,lasso,0,10,system,"('compression', 'level')",504.8457036072535,,,487.1112378378735
True,ridge,0,10,system,"('cores',)",-31.07745341844268,,,405.8873887725389
True,ridge,0,10,system,"('ram',)",51.37023519867222,,,405.8873887725389
True,ridge,0,10,system,"('level',)",17.022756736393774,,,405.8873887725389
True,ridge,0,10,system,"('encrypt',)",-16.260082620495005,,,405.8873887725389
True,ridge,0,10,system,"('wind_size_unl',)",16.260082620495012,,,405.8873887725389
True,ridge,0,10,system,"('threshold',)",65.25719584922466,,,405.8873887725389
True,ridge,0,10,system,"('compression',)",38.909483316526895,,,405.8873887725389
True,ridge,0,10,system,"('cores', 'ram')",-46.33814141382135,,,405.8873887725389
True,ridge,0,10,system,"('cores', 'level')",81.30504652593913,,,405.8873887725389
True,ridge,0,10,system,"('cores', 'encrypt')",-130.23310921269032,,,405.8873887725389
True,ridge,0,10,system,"('cores', 'wind_size_unl')",99.1556557942476,,,405.8873887725389
True,ridge,0,10,system,"('cores', 'threshold')",181.36528449935068,,,405.8873887725389
True,ridge,0,10,system,"('compression', 'cores')",155.63793326610758,,,405.8873887725389
True,ridge,0,10,system,"('level', 'ram')",-1.5677480314357126,,,405.8873887725389
True,ridge,0,10,system,"('encrypt', 'ram')",54.40353973329039,,,405.8873887725389
True,ridge,0,10,system,"('ram', 'wind_size_unl')",-3.0333045346180825,,,405.8873887725389
True,ridge,0,10,system,"('ram', 'threshold')",217.4380966727297,,,405.8873887725389
True,ridge,0,10,system,"('compression', 'ram')",77.81896663305379,,,405.8873887725389
True,ridge,0,10,system,"('encrypt', 'level')",-59.569486858904895,,,405.8873887725389
True,ridge,0,10,system,"('level', 'wind_size_unl')",76.59224359529867,,,405.8873887725389
True,ridge,0,10,system,"('level', 'threshold')",-165.91478963151616,,,405.8873887725389
True,ridge,0,10,system,"('compression', 'level')",350.185349848742,,,405.8873887725389
True,ridge,0,10,system,"('encrypt', 'threshold')",-16.260082620495005,,,405.8873887725389
True,ridge,0,10,system,"('threshold', 'wind_size_unl')",81.51727846971966,,,405.8873887725389
True,ridge,0,10,system,"('compression', 'wind_size_unl')",38.909483316526895,,,405.8873887725389
True,p4,0,10,system,"('cores', 'level')",7.877410173416138,6.107753276824951,9.647067070007324,233.5125267129609
True,p4,0,10,system,"('cores', 'wind_size_unl')",128.724609375,117.78611755371094,139.66310119628906,233.5125267129609
True,p4,0,10,system,"('cores', 'threshold')",48.68211555480957,42.17524719238281,55.18898391723633,233.5125267129609
True,p4,0,10,system,"('level', 'ram')",-0.403219610452652,-0.635988175868988,-0.1704510450363159,233.5125267129609
True,p4,0,10,system,"('ram', 'threshold')",56.545501708984375,50.14199447631836,62.94900894165039,233.5125267129609
True,p4,0,10,system,"('level', 'threshold')",-36.89190673828125,-41.16871643066406,-32.61509704589844,233.5125267129609
True,p4,0,10,system,"('compression', 'level')",700.4701232910156,693.1461181640625,707.7941284179688,233.5125267129609
True,lasso,0,15,system,"('level',)",245.31221866962088,,,506.5126327958672
True,lasso,0,15,system,"('cores', 'ram')",-95.05966965244204,,,506.5126327958672
True,lasso,0,15,system,"('cores', 'level')",85.93790143781997,,,506.5126327958672
True,lasso,0,15,system,"('cores', 'encrypt')",-392.19449643968017,,,506.5126327958672
True,lasso,0,15,system,"('cores', 'wind_size_unl')",-53.07350529786298,,,506.5126327958672
True,lasso,0,15,system,"('cores', 'threshold')",441.6876776584052,,,506.5126327958672
True,lasso,0,15,system,"('level', 'ram')",33.28131485126073,,,506.5126327958672
True,lasso,0,15,system,"('ram', 'wind_size_unl')",-123.18471988280554,,,506.5126327958672
True,lasso,0,15,system,"('ram', 'threshold')",147.94733290592805,,,506.5126327958672
True,lasso,0,15,system,"('encrypt', 'level')",-296.1017112341318,,,506.5126327958672
True,lasso,0,15,system,"('level', 'wind_size_unl')",-150.76501364047593,,,506.5126327958672
True,lasso,0,15,system,"('level', 'threshold')",-247.4070525878777,,,506.5126327958672
True,lasso,0,15,system,"('compression', 'level')",428.2857296163153,,,506.5126327958672
True,ridge,0,15,system,"('cores',)",27.22964877756152,,,513.8783925849758
True,ridge,0,15,system,"('ram',)",-21.27486915457851,,,513.8783925849758
True,ridge,0,15,system,"('level',)",207.7083956163695,,,513.8783925849758
True,ridge,0,15,system,"('encrypt',)",-54.29347293835258,,,513.8783925849758
True,ridge,0,15,system,"('wind_size_unl',)",-41.96507728651007,,,513.8783925849758
True,ridge,0,15,system,"('threshold',)",48.40013942234086,,,513.8783925849758
True,ridge,0,15,system,"('compression',)",22.07408236188759,,,513.8783925849758
True,ridge,0,15,system,"('cores', 'ram')",-88.89404840055988,,,513.8783925849758
True,ridge,0,15,system,"('cores', 'level')",80.87522717840278,,,513.8783925849758
