is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,1,10,,,,1062,8,1,160,1,1,0,1,1,0
True,1,10,,,,1097,4,1,160,1,1,0,1,0,1
True,1,10,,,,1670,8,1,40,0,0,0,1,1,1
True,1,10,,,,1792,8,8,40,0,1,0,1,0,0
True,1,10,,,,1933,8,1,40,0,0,0,0,1,0
True,1,15,,,,359,8,4,160,0,0,1,0,1,0
True,1,15,,,,544,8,4,160,0,1,1,0,0,1
True,1,15,,,,752,2,4,160,0,1,0,1,1,1
True,1,15,,,,910,4,8,40,0,1,0,1,0,0
True,1,15,,,,1103,4,8,160,1,0,1,0,0,1
True,1,20,,,,564,2,16,160,0,1,1,0,0,0
True,1,20,,,,1007,8,16,160,0,1,1,1,0,1
True,1,20,,,,1314,8,1,160,1,0,0,1,1,0
True,1,20,,,,1522,2,16,160,1,0,1,0,1,0
True,1,20,,,,1566,1,16,160,0,0,0,1,0,0
True,1,25,,,,130,1,4,160,1,0,1,0,0,0
True,1,25,,,,237,4,4,160,0,1,1,0,0,0
True,1,25,,,,1037,4,1,160,0,1,0,1,1,0
True,1,25,,,,1510,1,1,160,1,1,1,1,0,0
True,1,25,,,,1956,4,2,160,1,0,1,1,1,1
True,1,30,,,,795,8,16,10,0,1,0,0,0,1
True,1,30,,,,1247,8,16,0,1,1,0,1,0,0
True,1,30,,,,1286,8,16,40,1,1,1,1,1,0
True,1,30,,,,1368,8,16,40,1,0,0,0,0,0
True,1,30,,,,1898,4,4,160,0,0,1,1,0,0
True,1,35,,,,433,8,16,10,1,1,0,0,1,0
True,1,35,,,,670,2,4,40,0,1,1,0,0,1
True,1,35,,,,919,8,16,10,1,1,1,0,1,0
True,1,35,,,,1296,4,1,160,1,1,1,0,0,0
True,1,35,,,,1308,1,1,160,1,1,1,1,0,1
True,1,40,,,,142,2,2,160,0,0,0,0,0,0
True,1,40,,,,458,1,2,40,1,1,0,1,0,0
True,1,40,,,,623,1,2,40,1,0,1,1,0,0
True,1,40,,,,1068,1,8,160,1,1,0,0,0,0
True,1,40,,,,1740,2,8,160,1,0,1,1,0,0
True,1,45,,,,499,4,4,40,1,1,0,1,0,0
True,1,45,,,,510,4,4,40,1,0,0,0,0,1
True,1,45,,,,756,2,8,40,1,0,1,1,0,0
True,1,45,,,,887,2,8,40,0,0,0,1,0,0
True,1,45,,,,1771,2,8,40,0,0,0,0,0,0
True,1,50,,,,254,4,16,0,1,1,1,1,0,0
True,1,50,,,,1052,4,16,0,0,1,0,1,1,0
True,1,50,,,,1425,8,8,10,0,1,1,0,0,1
True,1,50,,,,1698,8,8,0,1,1,1,1,1,0
True,1,50,,,,1930,8,8,0,0,0,0,1,0,0
True,1,55,,,,318,4,1,160,1,0,0,1,1,0
True,1,55,,,,718,2,16,40,1,0,1,0,1,1
True,1,55,,,,1056,1,1,160,1,0,0,0,0,0
True,1,55,,,,1422,8,16,40,1,1,1,1,1,1
True,1,55,,,,1535,8,16,10,1,1,0,0,1,1
True,1,60,,,,517,8,1,40,1,1,0,1,1,1
True,1,60,,,,629,2,8,10,1,1,1,1,1,0
True,1,60,,,,832,1,4,40,0,1,1,0,1,0
True,1,60,,,,851,2,16,10,0,0,0,1,0,1
True,1,60,,,,912,4,16,10,1,0,1,0,1,0
True,1,65,,,,197,2,1,10,1,1,1,1,0,1
True,1,65,,,,731,2,2,160,1,1,0,0,1,1
True,1,65,,,,1005,2,2,10,1,0,0,0,0,1
True,1,65,,,,1210,8,8,160,0,0,1,1,1,1
True,1,65,,,,1498,2,1,10,0,1,0,0,1,0
True,1,70,,,,26,2,2,40,0,0,0,0,1,1
True,1,70,,,,966,1,1,10,0,0,1,0,0,0
True,1,70,,,,1313,4,8,10,1,0,1,1,0,0
True,1,70,,,,1345,8,8,10,1,0,1,0,0,0
True,1,70,,,,1399,1,2,40,0,1,0,0,0,0
True,1,75,,,,970,4,4,10,0,0,1,0,0,0
True,1,75,,,,1074,2,1,40,0,0,0,0,1,1
True,1,75,,,,1486,4,4,40,1,1,1,0,1,1
True,1,75,,,,1854,4,4,40,1,0,1,1,1,1
True,1,75,,,,1960,8,16,10,1,0,1,1,1,1
True,1,80,,,,321,1,2,10,0,1,0,0,1,0
True,1,80,,,,515,1,8,10,1,1,0,1,1,0
True,1,80,,,,1419,4,2,10,0,1,1,1,1,0
True,1,80,,,,1620,1,4,10,1,0,0,1,0,0
True,1,80,,,,1801,4,2,10,0,1,0,1,0,1
True,1,85,,,,635,8,2,0,0,1,1,1,0,1
True,1,85,,,,1095,8,1,0,0,1,0,1,0,0
True,1,85,,,,1593,8,1,10,1,1,0,1,0,1
True,1,85,,,,1648,8,2,10,0,1,0,1,0,1
True,1,85,,,,1686,1,1,0,1,0,0,1,0,0
True,1,90,,,,16,8,4,0,0,0,0,0,0,0
True,1,90,,,,400,8,2,0,0,1,0,1,1,1
True,1,90,,,,582,1,4,0,0,0,1,1,1,1
True,1,90,,,,1329,1,2,0,1,0,0,1,0,1
True,1,90,,,,1943,4,8,0,0,1,0,0,0,1
True,1,95,,,,145,2,4,0,1,1,0,1,1,1
True,1,95,,,,1158,1,4,0,1,0,1,1,0,1
True,1,95,,,,1503,1,4,0,0,1,1,1,0,1
True,1,95,,,,1678,2,1,0,1,1,0,1,1,0
True,1,95,,,,1811,8,8,10,0,1,0,1,0,0
True,1,100,,,,210,4,8,0,1,0,0,1,0,1
True,1,100,,,,470,2,2,0,1,0,1,0,0,0
True,1,100,,,,1104,1,8,0,0,0,0,0,1,1
True,1,100,,,,1118,2,2,0,0,1,0,0,0,0
True,1,100,,,,1615,4,1,10,1,1,1,0,0,1
True,2,10,,,,300,8,8,10,0,0,0,0,1,0
True,2,10,,,,361,4,4,160,0,0,0,0,1,0
True,2,10,,,,467,1,8,10,1,1,1,1,0,1
True,2,10,,,,494,8,4,40,0,1,0,0,1,1
True,2,10,,,,528,4,8,40,0,0,1,1,0,1
True,2,10,,,,1100,8,16,40,0,1,1,0,0,1
True,2,10,,,,1193,1,4,10,1,0,1,1,0,0
True,2,10,,,,1288,2,8,10,1,1,0,0,1,0
True,2,10,,,,1559,1,4,0,1,0,0,0,1,1
True,2,10,,,,1609,4,1,40,1,1,1,1,0,1
True,2,15,,,,362,8,16,40,1,1,1,1,0,1
True,2,15,,,,395,8,16,40,0,1,1,1,0,1
True,2,15,,,,407,8,4,40,0,0,0,1,0,1
True,2,15,,,,436,8,16,40,1,0,0,0,1,0
True,2,15,,,,1799,4,8,160,0,1,1,1,1,1
True,2,20,,,,811,1,2,160,0,1,1,1,0,0
True,2,20,,,,948,1,1,160,0,1,1,0,1,0
True,2,20,,,,1106,2,16,40,0,1,0,1,0,1
True,2,20,,,,1296,4,1,160,1,1,1,0,0,0
True,2,20,,,,1568,4,8,40,1,1,0,1,0,1
True,2,25,,,,449,4,2,160,0,1,1,0,1,0
True,2,25,,,,731,2,2,160,1,1,0,0,1,1
True,2,25,,,,778,8,2,160,0,1,0,1,1,1
True,2,25,,,,1595,1,8,160,1,0,1,0,1,0
True,2,25,,,,1982,1,16,160,1,0,1,1,1,0
True,2,30,,,,32,8,16,0,0,1,0,1,0,0
True,2,30,,,,133,8,16,0,0,1,1,1,1,0
True,2,30,,,,533,8,16,0,0,0,0,0,0,0
True,2,30,,,,1572,8,16,0,0,1,1,0,1,1
True,2,30,,,,1584,8,16,0,0,0,1,0,1,0
