is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,2,10,,,,1100,8,16,40,0,1,1,0,0,1
True,2,10,,,,1193,1,4,10,1,0,1,1,0,0
True,2,10,,,,1288,2,8,10,1,1,0,0,1,0
True,2,10,,,,1559,1,4,0,1,0,0,0,1,1
True,2,10,,,,1609,4,1,40,1,1,1,1,0,1
True,2,11,,,,778,8,2,160,0,1,0,1,1,1
True,2,12,,,,1296,4,1,160,1,1,1,0,0,0
True,2,13,,,,1133,1,4,10,0,1,1,0,1,0
True,2,14,,,,1584,8,16,0,0,0,1,0,1,0
True,2,15,,,,1356,1,4,10,1,0,1,0,1,1
True,2,16,,,,1227,4,1,0,1,0,0,1,0,0
True,2,17,,,,1320,4,2,160,0,1,1,0,1,0
True,2,18,,,,1619,2,2,0,1,0,1,0,0,1
True,2,19,,,,811,1,2,160,0,1,1,1,0,0
True,2,20,,,,436,8,16,40,1,0,0,0,1,0
True,2,21,,,,1077,2,8,40,1,0,0,0,0,0
True,2,22,,,,301,4,8,40,1,1,1,1,1,0
True,2,23,,,,256,4,4,0,0,0,0,0,0,1
True,2,24,,,,1119,2,1,40,1,1,1,0,1,1
True,2,25,,,,881,2,1,0,1,1,1,1,1,0
True,2,26,,,,837,4,4,0,1,0,0,0,0,0
True,2,27,,,,363,4,16,0,1,1,0,1,0,1
True,2,28,,,,1743,2,8,10,1,1,1,0,0,0
True,2,29,,,,1358,1,1,40,0,0,1,1,0,0
True,2,30,,,,1106,2,16,40,0,1,0,1,0,1
True,2,31,,,,1568,4,8,40,1,1,0,1,0,1
True,2,32,,,,407,8,4,40,0,0,0,1,0,1
True,2,33,,,,613,2,8,10,1,1,0,1,1,0
True,2,34,,,,498,1,4,40,0,1,1,0,0,1
True,2,35,,,,533,8,16,0,0,0,0,0,0,0
True,2,36,,,,470,2,2,0,1,0,1,0,0,0
True,2,37,,,,736,4,1,10,1,0,1,0,1,0
True,2,38,,,,1579,2,8,10,0,1,0,0,0,1
True,2,39,,,,944,1,1,40,0,1,1,0,0,1
True,2,40,,,,680,8,4,10,1,0,0,1,1,0
True,2,41,,,,593,2,8,10,0,1,1,1,0,1
