is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,2,35,,,,811,1,2,160,0,1,1,1,0,0
True,2,35,,,,1080,2,1,40,1,1,0,0,1,0
True,2,35,,,,1119,2,1,40,1,1,1,0,1,1
True,2,35,,,,1352,2,1,10,1,1,1,1,0,1
True,2,35,,,,1780,8,8,10,0,0,0,0,0,1
True,2,40,,,,436,8,16,40,1,0,0,0,1,0
True,2,40,,,,736,4,1,10,1,0,1,0,1,0
True,2,40,,,,978,2,2,160,1,1,0,1,0,0
True,2,40,,,,1320,4,2,160,0,1,1,0,1,0
True,2,40,,,,1801,4,2,10,0,1,0,1,0,1
True,2,45,,,,125,1,8,40,0,1,1,1,1,0
True,2,45,,,,1133,1,4,10,0,1,1,0,1,0
True,2,45,,,,1239,1,4,40,0,1,0,0,0,0
True,2,45,,,,1356,1,4,10,1,0,1,0,1,1
True,2,45,,,,1526,1,8,40,0,0,1,0,1,1
True,2,50,,,,478,1,2,0,1,0,1,0,0,1
True,2,50,,,,806,1,4,0,1,1,0,1,1,1
True,2,50,,,,1598,8,8,40,0,1,1,0,0,0
True,2,50,,,,1663,1,2,0,1,0,1,1,0,1
True,2,50,,,,1799,4,8,160,0,1,1,1,1,1
True,2,55,,,,362,8,16,40,1,1,1,1,0,1
True,2,55,,,,395,8,16,40,0,1,1,1,0,1
True,2,55,,,,449,4,2,160,0,1,1,0,1,0
True,2,55,,,,1106,2,16,40,0,1,0,1,0,1
True,2,55,,,,1169,2,16,40,0,1,0,0,1,1
True,2,60,,,,470,2,2,0,1,0,1,0,0,0
True,2,60,,,,1304,1,16,40,0,1,1,1,1,1
True,2,60,,,,1595,1,8,160,1,0,1,0,1,0
True,2,60,,,,1623,2,1,160,1,0,0,1,0,0
True,2,60,,,,1982,1,16,160,1,0,1,1,1,0
True,2,65,,,,407,8,4,40,0,0,0,1,0,1
True,2,65,,,,437,8,1,40,0,1,0,0,1,0
True,2,65,,,,731,2,2,160,1,1,0,0,1,1
True,2,65,,,,1200,8,1,10,1,0,1,1,1,1
True,2,65,,,,1584,8,16,0,0,0,1,0,1,0
True,2,70,,,,32,8,16,0,0,1,0,1,0,0
True,2,70,,,,363,4,16,0,1,1,0,1,0,1
True,2,70,,,,533,8,16,0,0,0,0,0,0,0
True,2,70,,,,1243,4,8,0,1,0,1,1,0,0
True,2,70,,,,1579,2,8,10,0,1,0,0,0,1
True,2,75,,,,680,8,4,10,1,0,0,1,1,0
True,2,75,,,,910,4,8,40,0,1,0,1,0,0
True,2,75,,,,1335,2,8,10,0,1,1,0,0,0
True,2,75,,,,1568,4,8,40,1,1,0,1,0,1
True,2,75,,,,1619,2,2,0,1,0,1,0,0,1
True,2,80,,,,52,1,1,0,1,0,0,0,0,1
True,2,80,,,,924,1,4,40,0,0,0,1,0,0
True,2,80,,,,1384,1,4,10,1,1,0,1,0,0
True,2,80,,,,1627,2,4,10,1,1,1,1,1,1
True,2,80,,,,1743,2,8,10,1,1,1,0,0,0
True,2,85,,,,133,8,16,0,0,1,1,1,1,0
True,2,85,,,,498,1,4,40,0,1,1,0,0,1
True,2,85,,,,511,2,4,160,1,1,0,0,1,0
True,2,85,,,,898,4,1,40,1,0,0,0,1,1
True,2,85,,,,1842,2,16,0,0,0,1,1,1,1
True,2,90,,,,593,2,8,10,0,1,1,1,0,1
True,2,90,,,,1114,2,4,40,1,0,0,0,0,0
True,2,90,,,,1604,8,4,40,1,1,1,1,1,1
True,2,90,,,,1732,2,8,0,0,0,0,0,1,0
True,2,90,,,,1908,4,2,40,1,1,0,0,0,0
True,2,95,,,,97,2,8,10,1,1,1,0,1,0
True,2,95,,,,765,1,2,40,0,1,0,1,0,0
True,2,95,,,,944,1,1,40,0,1,1,0,0,1
True,2,95,,,,1589,4,8,10,1,1,0,1,0,0
True,2,95,,,,1620,1,4,10,1,0,0,1,0,0
True,2,100,,,,122,2,2,10,1,0,0,1,1,0
True,2,100,,,,613,2,8,10,1,1,0,1,1,0
True,2,100,,,,654,8,8,40,1,0,0,1,0,0
True,2,100,,,,948,1,1,160,0,1,1,0,1,0
True,2,100,,,,1939,4,8,0,1,1,0,0,1,0
True,3,10,,,,257,1,2,0,1,1,0,1,0,1
True,3,10,,,,660,8,4,160,1,1,0,1,1,0
True,3,10,,,,790,4,1,10,1,1,1,1,1,1
True,3,10,,,,953,8,4,40,0,0,0,0,0,0
True,3,10,,,,969,2,16,0,1,0,0,0,1,0
True,3,10,,,,1022,2,1,160,1,1,0,0,0,0
True,3,10,,,,1274,4,8,40,0,1,1,1,1,1
True,3,10,,,,1668,8,2,160,0,0,1,0,1,0
True,3,10,,,,1689,8,16,10,1,1,0,1,0,0
True,3,10,,,,1899,8,8,40,1,1,1,0,0,0
True,3,15,,,,177,1,2,10,0,0,0,1,1,0
