is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,0,75,"('threads',)",4.0,,315,4,1,160,0,0,1,1,0,0
True,0,75,"('threads',)",4.0,,552,4,2,10,1,1,1,0,1,0
True,0,75,"('threads',)",4.0,,915,4,2,160,1,0,0,0,1,0
True,0,75,"('threads',)",4.0,,1882,4,4,0,1,1,1,1,1,0
True,0,80,"('threads',)",8.0,,29,8,2,160,1,1,0,0,1,1
True,0,80,"('threads',)",8.0,,88,8,1,0,1,0,0,0,1,1
True,0,80,"('threads',)",8.0,,538,8,8,160,0,0,0,0,0,1
True,0,80,"('threads',)",8.0,,677,8,8,160,0,0,0,0,1,0
True,0,80,"('threads',)",8.0,,1491,8,2,0,0,1,0,1,0,1
True,0,85,,,,73,4,2,160,0,0,1,0,0,1
True,0,85,,,,424,2,4,40,0,1,0,1,1,0
True,0,85,,,,767,2,4,40,0,1,1,0,1,0
True,0,85,,,,1839,4,2,0,0,1,1,0,0,1
True,0,85,,,,1936,4,2,0,1,0,0,0,0,1
True,0,90,,,,116,2,8,10,1,0,1,0,1,0
True,0,90,,,,336,4,2,40,0,0,0,0,1,0
True,0,90,,,,840,2,1,0,1,1,0,1,0,1
True,0,90,,,,981,2,8,160,0,1,1,0,1,1
True,0,90,,,,1710,2,2,40,1,0,1,0,1,0
True,0,95,,,,245,2,4,10,1,0,1,0,0,1
True,0,95,,,,274,2,4,160,0,0,0,0,1,0
True,0,95,,,,292,2,2,160,0,0,0,1,1,0
True,0,95,,,,1518,2,2,160,0,1,0,0,0,1
True,0,95,,,,1582,2,2,160,1,0,1,0,1,1
True,0,100,,,,58,4,8,0,1,1,1,1,1,1
True,0,100,,,,278,4,8,160,1,1,0,1,1,1
True,0,100,,,,511,2,4,160,1,1,0,0,1,0
True,0,100,,,,1072,4,4,10,1,1,1,0,1,0
True,0,100,,,,1149,4,8,10,1,0,0,0,0,1
True,1,10,,,,236,8,16,40,1,1,1,1,0,1
True,1,10,,,,716,2,4,40,1,1,1,1,1,1
True,1,10,,,,848,2,2,0,1,0,0,0,0,1
True,1,10,,,,906,8,1,0,0,1,1,0,0,0
True,1,10,,,,961,4,2,160,0,0,0,0,0,1
True,1,10,,,,1062,8,1,160,1,1,0,1,1,0
True,1,10,,,,1097,4,1,160,1,1,0,1,0,1
True,1,10,,,,1670,8,1,40,0,0,0,1,1,1
True,1,10,,,,1792,8,8,40,0,1,0,1,0,0
True,1,10,,,,1933,8,1,40,0,0,0,0,1,0
True,1,15,"('rc_lookahead', 'ref')",160.0,2.0,142,2,2,160,0,0,0,0,0,0
True,1,15,"('no_8x8dct', 'rc_lookahead')",1.0,0.0,254,4,16,0,1,1,1,1,0,0
True,1,15,"('no_mixed_refs', 'rc_lookahead')",1.0,0.0,400,8,2,0,0,1,0,1,1,1
True,1,15,"('rc_lookahead', 'threads')",160.0,8.0,1007,8,16,160,0,1,1,1,0,1
True,1,15,"('no_fast_pskip', 'rc_lookahead')",1.0,160.0,1956,4,2,160,1,0,1,1,1,1
True,1,20,"('no_8x8dct', 'rc_lookahead')",1.0,40.0,510,4,4,40,1,0,0,0,0,1
True,1,20,"('rc_lookahead', 'ref')",160.0,16.0,564,2,16,160,0,1,1,0,0,0
True,1,20,"('rc_lookahead',)",0.0,,1052,4,16,0,0,1,0,1,1,0
True,1,20,"('rc_lookahead', 'threads')",160.0,2.0,1740,2,8,160,1,0,1,1,0,0
True,1,20,"('no_mixed_refs', 'rc_lookahead')",1.0,0.0,1943,4,8,0,0,1,0,0,0,1
