is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
False,1,10,,,,1062,8,1,160,1,1,0,1,1,0
False,1,10,,,,1097,4,1,160,1,1,0,1,0,1
False,1,10,,,,1670,8,1,40,0,0,0,1,1,1
False,1,10,,,,1792,8,8,40,0,1,0,1,0,0
False,1,10,,,,1933,8,1,40,0,0,0,0,1,0
False,1,15,,,,1052,4,16,0,0,1,0,1,1,0
False,1,15,,,,1296,4,1,160,1,1,1,0,0,0
False,1,15,,,,1314,8,1,160,1,0,0,1,1,0
False,1,15,,,,1686,1,1,0,1,0,0,1,0,0
False,1,15,,,,1943,4,8,0,0,1,0,0,0,1
False,1,20,,,,718,2,16,40,1,0,1,0,1,1
False,1,20,,,,912,4,16,10,1,0,1,0,1,0
False,1,20,,,,966,1,1,10,0,0,1,0,0,0
False,1,20,,,,1005,2,2,10,1,0,0,0,0,1
False,1,20,,,,1068,1,8,160,1,1,0,0,0,0
False,1,25,,,,731,2,2,160,1,1,0,0,1,1
False,1,25,,,,832,1,4,40,0,1,1,0,1,0
False,1,25,,,,1210,8,8,160,0,0,1,1,1,1
False,1,25,,,,1535,8,16,10,1,1,0,0,1,1
False,1,25,,,,1678,2,1,0,1,1,0,1,1,0
False,1,30,,,,321,1,2,10,0,1,0,0,1,0
False,1,30,,,,517,8,1,40,1,1,0,1,1,1
False,1,30,,,,1425,8,8,10,0,1,1,0,0,1
False,1,30,,,,1486,4,4,40,1,1,1,0,1,1
False,1,30,,,,1854,4,4,40,1,0,1,1,1,1
False,1,35,,,,756,2,8,40,1,0,1,1,0,0
False,1,35,,,,795,8,16,10,0,1,0,0,0,1
False,1,35,,,,1510,1,1,160,1,1,1,1,0,0
False,1,35,,,,1811,8,8,10,0,1,0,1,0,0
False,1,35,,,,1898,4,4,160,0,0,1,1,0,0
False,1,40,,,,130,1,4,160,1,0,1,0,0,0
False,1,40,,,,1368,8,16,40,1,0,0,0,0,0
False,1,40,,,,1399,1,2,40,0,1,0,0,0,0
False,1,40,,,,1503,1,4,0,0,1,1,1,0,1
False,1,40,,,,1615,4,1,10,1,1,1,0,0,1
False,1,45,,,,142,2,2,160,0,0,0,0,0,0
False,1,45,,,,1247,8,16,0,1,1,0,1,0,0
False,1,45,,,,1308,1,1,160,1,1,1,1,0,1
False,1,45,,,,1522,2,16,160,1,0,1,0,1,0
False,1,45,,,,1593,8,1,10,1,1,0,1,0,1
