is_active,model_name,repetition,iteration,function_name,feature,influence,min_influence,max_influence,mape
True,p4,0,35,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",27.125699440638225,27.01321093241373,27.23818794886271,
True,p4,0,35,weighted_p4_influences_by_vif_system_results,"('window',)",56.63412729899089,55.46136983235677,57.806884765625,
True,p4,0,40,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",22.309982856114704,22.20480251312256,22.41516319910685,
True,p4,0,40,weighted_p4_influences_by_functions_system_results,"('window',)",56.63412729899089,55.46136983235677,57.806884765625,
True,p4,0,40,average_p4_influences_system_results,"('compression', 'window')",22.309982856114704,22.20480251312256,22.41516319910685,
True,p4,0,40,average_p4_influences_system_results,"('window',)",56.63412729899089,55.46136983235677,57.806884765625,
True,p4,0,40,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",22.309982856114704,22.20480251312256,22.41516319910685,
True,p4,0,40,weighted_p4_influences_by_vif_system_results,"('window',)",56.63412729899089,55.46136983235677,57.806884765625,
True,p4,0,45,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",31.962807257970177,31.76167329152425,32.1639412244161,
True,p4,0,45,weighted_p4_influences_by_functions_system_results,"('compression',)",-264.3226318359375,-267.76953125,-260.875732421875,
True,p4,0,45,average_p4_influences_system_results,"('compression', 'window')",31.962807257970177,31.76167329152425,32.1639412244161,
True,p4,0,45,average_p4_influences_system_results,"('compression',)",-264.3226318359375,-267.76953125,-260.875732421875,
True,p4,0,45,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",31.962807257970177,31.76167329152425,32.1639412244161,
True,p4,0,45,weighted_p4_influences_by_vif_system_results,"('compression',)",-264.3226318359375,-267.76953125,-260.875732421875,
True,p4,0,50,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",29.171299378077187,28.97524770100912,29.367351055145264,
True,p4,0,50,weighted_p4_influences_by_functions_system_results,"('compression',)",-235.81501261393228,-239.3052775065104,-232.32474772135416,
True,p4,0,50,average_p4_influences_system_results,"('compression', 'window')",29.171299378077187,28.97524770100912,29.367351055145264,
True,p4,0,50,average_p4_influences_system_results,"('compression',)",-235.81501261393228,-239.3052775065104,-232.32474772135416,
True,p4,0,50,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",29.171299378077187,28.97524770100912,29.367351055145264,
True,p4,0,50,weighted_p4_influences_by_vif_system_results,"('compression',)",-235.81501261393228,-239.3052775065104,-232.32474772135416,
True,p4,0,55,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",29.95192837715149,29.78497695922852,30.118879795074463,
True,p4,0,55,weighted_p4_influences_by_functions_system_results,"('compression',)",-261.80767822265625,-264.51536051432294,-259.0999959309896,
True,p4,0,55,average_p4_influences_system_results,"('compression', 'window')",29.95192837715149,29.78497695922852,30.118879795074463,
True,p4,0,55,average_p4_influences_system_results,"('compression',)",-261.80767822265625,-264.51536051432294,-259.0999959309896,
True,p4,0,55,weighted_p4_influences_by_vif_system_results,"('compression', 'window')",29.95192837715149,29.78497695922852,30.118879795074463,
True,p4,0,55,weighted_p4_influences_by_vif_system_results,"('compression',)",-261.80767822265625,-264.51536051432294,-259.0999959309896,
True,p4,0,60,weighted_p4_influences_by_functions_system_results,"('compression', 'window')",19.441953121762104,19.336312937006976,19.54759330651723,
True,p4,0,60,average_p4_influences_system_results,"('compression', 'window')",19.441953121762104,19.336312937006976,19.54759330651723,
