taskID,method,time,energy,cores,ram,level,encrypt,wind_size_unl,threshold,compression
3,CrcUpdate,0.4150595664978014,0.7389939732748142,1,18,4,1,0,0,2
3,LZ4_compress_fast_extState,0.0138888359069824,0.0104864557379388,1,18,4,1,0,0,2
3,[unknown],415.95234727859497,591.0764182543646,1,18,4,1,0,0,2
3,__clone,0.7293457984924314,1.266755423346026,1,18,4,1,0,0,2
3,__getpagesize,0.0248937606811516,0.043592532031953,1,18,4,1,0,0,2
3,__uint64_identity,0.250252723693847,0.3397165092063905,1,18,4,1,0,0,2
3,_dl_allocate_tls_init,0.1348328590393064,0.2300728200342924,1,18,4,1,0,0,2
3,aes_crypt_cbc,11.887284755706789,16.638613125513885,1,18,4,1,0,0,2
3,aes_crypt_ecb,34.034263610839844,47.68658648271465,1,18,4,1,0,0,2
3,cfree,0.027804374694824,0.0459734714548954,1,18,4,1,0,0,2
3,cksem_wait,0.022874355316162,0.040521665296114,1,18,4,1,0,0,2
3,cksum_update,0.013902187347412,0.0237282130312488,1,18,4,1,0,0,2
3,cksumthread,0.0101170539855952,0.0153388303403667,1,18,4,1,0,0,2
3,clean_one_from_hash,0.3302578926086426,0.559740091786051,1,18,4,1,0,0,2
3,create_thread,0.02934980392456,0.0506128538889076,1,18,4,1,0,0,2
3,empty_hash,31.794452667236328,54.71746221013108,1,18,4,1,0,0,2
3,ffsll,3.827133655548095,6.626111897322641,1,18,4,1,0,0,2
3,find_best_match,13.50462818145752,23.38184077565661,1,18,4,1,0,0,2
3,hash_search,24.95329475402832,43.08390798310821,1,18,4,1,0,0,2
3,increase_mask,2.2678022384643555,3.918560455855361,1,18,4,1,0,0,2
3,insert_hash,15.359066486358644,26.5473028952281,1,18,4,1,0,0,2
3,lesser_bitness,7.0943779945373535,12.268401900650325,1,18,4,1,0,0,2
3,lrz_stretch,0.4587855339050284,0.6291412555600411,1,18,4,1,0,0,2
3,malloc,0.0831060409545897,0.1453516431167479,1,18,4,1,0,0,2
3,md5_process_block,0.2338671684265126,0.4156981160574319,1,18,4,1,0,0,2
3,minimum_bitness,5.728315353393555,9.896904612127132,1,18,4,1,0,0,2
3,primary_hash,0.3805027008056638,0.6430177794756705,1,18,4,1,0,0,2
3,pthread_create@@GLIBC_2.2.5,0.3079342842102044,0.5346875816665506,1,18,4,1,0,0,2
3,pthread_testcancel,0.0135984420776358,0.0246711473549115,1,18,4,1,0,0,2
3,sem_wait@@GLIBC_2.2.5,0.0519738197326656,0.0894361949366912,1,18,4,1,0,0,2
3,sha4_process,29.44632148742676,40.5907786428646,1,18,4,1,0,0,2
3,sha4_update,2.363388538360596,3.274494898490264,1,18,4,1,0,0,2
3,sliding_get_sb,39.35032320022583,68.05906713516961,1,18,4,1,0,0,2
3,sliding_get_sb_range,0.011095046997069,0.0201195526984911,1,18,4,1,0,0,2
3,sliding_match_len,0.1538553237915036,0.2570312921753899,1,18,4,1,0,0,2
3,sliding_next_tag,84.67693805694581,146.09296984185272,1,18,4,1,0,0,2
5,BZ2_blockSort,1.2388100624084473,2.2769203175498696,3,2,9,0,1,0,2
5,BZ2_compressBlock,151.87464094161987,278.6523437704032,3,2,9,0,1,0,2
5,BZ2_hbAssignCodes,0.1419725418090812,0.2623754731946585,3,2,9,0,1,0,2
5,BZ2_hbMakeCodeLengths,2.802797794342041,5.08760449637538,3,2,9,0,1,0,2
5,CrcUpdate,2.528509140014648,4.611075530017275,3,2,9,0,1,0,2
5,LZ4_compress_fast_extState,0.0128574371337888,0.0234629757043612,3,2,9,0,1,0,2
5,[unknown],215.931667804718,387.6186257018313,3,2,9,0,1,0,2
5,__clone,0.602961063385009,1.0696356135589364,3,2,9,0,1,0,2
5,__ctype_init,0.0251073837280266,0.0462428872039494,3,2,9,0,1,0,2
5,__free_tcb,0.0005373954772949,0.0009714933215368,3,2,9,0,1,0,2
5,__getpagesize,0.013902187347412,0.0255459882355217,3,2,9,0,1,0,2
5,__libc_write,0.000213623046875,0.0003983535528036,3,2,9,0,1,0,2
5,__madvise,0.014249324798583,0.0260384816959328,3,2,9,0,1,0,2
5,__mmap,0.1980218887329088,0.352192840143875,3,2,9,0,1,0,2
5,__munmap,0.2839484214782712,0.5062205412208951,3,2,9,0,1,0,2
5,__pthread_detach,0.0007476806640625,0.001369096312241,3,2,9,0,1,0,2
5,__pthread_disable_asynccancel,0.0131077766418452,0.0239856691860892,3,2,9,0,1,0,2
5,__sigsetjmp,0.0008010864257812,0.001465532356597,3,2,9,0,1,0,2
5,__uint32_identity,0.0393967628478998,0.0699823989118065,3,2,9,0,1,0,2
5,_dl_allocate_tls_init,0.1376366615295406,0.2456985201699265,3,2,9,0,1,0,2
5,cfree,0.0738067626953117,0.1364192727117809,3,2,9,0,1,0,2
5,cksem_wait,0.016499042510986,0.0289662844521186,3,2,9,0,1,0,2
5,cksumthread,0.0431118011474598,0.0785147938526499,3,2,9,0,1,0,2
5,clean_one_from_hash,1.7479572296142571,2.9531802762809303,3,2,9,0,1,0,2
5,cond_wait,0.0207748413085934,0.0291432712806921,3,2,9,0,1,0,2
5,create_thread,0.0139055252075194,0.0252566842429389,3,2,9,0,1,0,2
